Phytochemical,Link
2-Hexenal,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Hexenal+
2-Hydroxy-3-phenylprop-2-enal,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Hydroxy-3-phenylprop-2-enal
2-Methylbutyl benzoate,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Methylbutyl+benzoate
2-Methylheptane,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Methylheptane
2-Methylnonane,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Methylnonane
2-Nonenal,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Nonenal+
2-O-BETA-L-ARABINOPYRANOSIDE-MYOINOSITOL,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-O-BETA-L-ARABINOPYRANOSIDE-MYOINOSITOL
2-O-CAFFEOYLHYDROXY-CITRIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-O-CAFFEOYLHYDROXY-CITRIC-ACID
2-Pentylthiophene,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Pentylthiophene
"2-Phenylfuro[2,3-h]chromen-4-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+2-Phenylfuro%5B2%2C3-h%5Dchromen-4-one
2-[3-(4-Hydroxyphenyl)propyl]-5-methoxyphenol,https://neist.res.in/osadhi/phytodetail.php?phyto=+2-%5B3-%284-Hydroxyphenyl%29propyl%5D-5-methoxyphenol
22-Oxononacosanoic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=+22-Oxononacosanoic+acid
26-Methylheptacosanoic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=+26-Methylheptacosanoic+acid
"3,3'-DI-O-METHYL-ELLAGIC-ACID-4'-BETA-D-XYLOSIDE",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C3%27-DI-O-METHYL-ELLAGIC-ACID-4%27-BETA-D-XYLOSIDE
"3,3,6-Trimethylhepta-1,5-dien-4-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C3%2C6-Trimethylhepta-1%2C5-dien-4-one
"3,4',5-TRIHYDROXY-3',7-DIMETHOXY-FLAVANONE",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C4%27%2C5-TRIHYDROXY-3%27%2C7-DIMETHOXY-FLAVANONE
"3,4,4-Trimethylheptadec-2-EN-2-OL",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C4%2C4-Trimethylheptadec-2-EN-2-OL
"3,4-dihydrocoumarin",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C4-dihydrocoumarin
"3,4-Dihydroxybenzoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C4-Dihydroxybenzoic+acid
"3,4-Dimethoxybenzoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C4-Dimethoxybenzoic+acid
"3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C6-Epoxy-5%2C5%27%2C6%2C6%27-tetrahydro-b%2Cb-carotene-3%27%2C5%2C5%27%2C6%27-tetrol
"3,7-Dimethyloct-6-en-1-yn-3-ol",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C7-Dimethyloct-6-en-1-yn-3-ol
"3,8-dihydroxy-10-methoxy-9-[(E)-3-methylbut-1-enyl]-6-(2-methylprop-1-enyl)-6H-chromeno[4,3-b]chromen-7-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+3%2C8-dihydroxy-10-methoxy-9-%5B%28E%29-3-methylbut-1-enyl%5D-6-%282-methylprop-1-enyl%29-6H-chromeno%5B4%2C3-b%5Dchromen-7-one
3-ACETYLALEURITOLIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=+3-ACETYLALEURITOLIC-ACID
