Phytochemicals,Link
Angelica archangelica,https://cb.imsc.res.in/imppat/therapeutics/Angelica%20archangelica
Angelica glauca,https://cb.imsc.res.in/imppat/therapeutics/Angelica%20glauca
Angelica sinensis,https://cb.imsc.res.in/imppat/therapeutics/Angelica%20sinensis
Angelica tenuissima,https://cb.imsc.res.in/imppat/therapeutics/Angelica%20tenuissima
Angelonia grandiflora,https://cb.imsc.res.in/imppat/therapeutics/Angelonia%20grandiflora
Angiopteris evecta,https://cb.imsc.res.in/imppat/therapeutics/Angiopteris%20evecta
Aniseia martinicensis,https://cb.imsc.res.in/imppat/therapeutics/Aniseia%20martinicensis
Anisochilus carnosus,https://cb.imsc.res.in/imppat/therapeutics/Anisochilus%20carnosus
Anisodus luridus,https://cb.imsc.res.in/imppat/therapeutics/Anisodus%20luridus
Anisomeles heyneana,https://cb.imsc.res.in/imppat/therapeutics/Anisomeles%20heyneana
Anisomeles indica,https://cb.imsc.res.in/imppat/therapeutics/Anisomeles%20indica
Anisomeles malabarica,https://cb.imsc.res.in/imppat/therapeutics/Anisomeles%20malabarica
Annona atemoya,https://cb.imsc.res.in/imppat/therapeutics/Annona%20atemoya
Annona cherimola,https://cb.imsc.res.in/imppat/therapeutics/Annona%20cherimola
Annona glabra,https://cb.imsc.res.in/imppat/therapeutics/Annona%20glabra
Annona montana,https://cb.imsc.res.in/imppat/therapeutics/Annona%20montana
Annona muricata,https://cb.imsc.res.in/imppat/therapeutics/Annona%20muricata
Annona purpurea,https://cb.imsc.res.in/imppat/therapeutics/Annona%20purpurea
Annona reticulata,https://cb.imsc.res.in/imppat/therapeutics/Annona%20reticulata
Annona squamosa,https://cb.imsc.res.in/imppat/therapeutics/Annona%20squamosa
Annona stenophylla,https://cb.imsc.res.in/imppat/therapeutics/Annona%20stenophylla
Anodendron paniculatum,https://cb.imsc.res.in/imppat/therapeutics/Anodendron%20paniculatum
Anoectochilus roxburghii,https://cb.imsc.res.in/imppat/therapeutics/Anoectochilus%20roxburghii
