,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
202,Aloe vera,Plantae,Xanthorrhoeaceae,Angiosperms,Aloe Vera,"Aloe barbadensis, Aloe vera, Aloe indica","Ayurveda, Siddha, Sowa Rigpa, Unani",
203,Aloysia citriodora,Plantae,Verbenaceae,Angiosperms,Lemon Verbena,"Lippia citriodora, Aloysia triphylla, Aloysia citriodora, Lippia triphylla",,
204,Aloysia gratissima,Plantae,Verbenaceae,Angiosperms,,Aloysia gratissima,,
205,Alphonsea ventricosa,Plantae,Annonaceae,Angiosperms,,Alphonsea ventricosa,,
206,Alpinia calcarata,Plantae,Zingiberaceae,Angiosperms,Snap Ginger,Alpinia calcarata,Ayurveda,
207,Alpinia galanga,Plantae,Zingiberaceae,Angiosperms,Galangal,"Alpinia galanga, Amomum galanga, Alpina galanga, Alpinia galanga*, Alpinia khulanjan","Ayurveda, Siddha, Unani",
208,Alpinia hainanensis,Plantae,Zingiberaceae,Angiosperms,,"Alpinia katsumadae, Alpinia hainanensis",,
209,Alpinia japonica,Plantae,Zingiberaceae,Angiosperms,,Alpinia japonica,,
210,Alpinia malaccensis,Plantae,Zingiberaceae,Angiosperms,Malacca Ginger,"Alpinia malaccensis, Catimbium malaccense, Alpina malaccenis, Catimbium malaceense, Catimbium mulacsense",,Data Deficient
211,Alpinia nigra,Plantae,Zingiberaceae,Angiosperms,Black Galangal,"Alpinia allughas, Alpinia nigra, Zingiber nigrum, Alpina allughas",,Least Concern
212,Alpinia officinarum,Plantae,Zingiberaceae,Angiosperms,,"Alpinia officinarum, Alpina officinarum, Alpinia officinarym","Ayurveda, Siddha, Unani",
213,Alpinia zerumbet,Plantae,Zingiberaceae,Angiosperms,Shell Ginger,"Alpinia speciosa, Alpinia zerumbet, Catimbium speciosum, Zerumber speciosum, Zerumbet speciosum, Alpinia zerumpet","Ayurveda, Siddha, Unani",Data Deficient
214,Alseodaphne semecarpifolia,Plantae,Lauraceae,Angiosperms,Nelthare,Alseodaphne semecarpifolia,Siddha,
215,Alstonia macrophylla,Plantae,Apocynaceae,Angiosperms,Batino,"Alstonia macrophylla, Alstonia pangkorensis",,Lower Risk/least concern
216,Alstonia neriifolia,Plantae,Apocynaceae,Angiosperms,,Alstonia neriifolia,,
217,Alstonia scholaris,Plantae,Apocynaceae,Angiosperms,Scholar Tree,"Alstonia scholaris, Alstonia scholars, Alstonia scholoris","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
218,Alstonia spectabilis,Plantae,Apocynaceae,Angiosperms,,"Alstonia spectabilis, Alstonia villosa",,Least Concern
219,Alstonia venenata,Plantae,Apocynaceae,Angiosperms,Poison Devil Tree,"Alstonia venenata, Alstonia venata",Ayurveda,
220,Alternanthera philoxeroides,Plantae,Amaranthaceae,Angiosperms,Alligator Weed,Alternanthera philoxeroides,,
221,Alternanthera pungens,Plantae,Amaranthaceae,Angiosperms,Khaki Weed,Alternanthera pungens,,
222,Alternanthera sessilis,Plantae,Amaranthaceae,Angiosperms,Stalkless Joyweed,"Alternanthera polygonoides, Alternanthera nodiflora, Alternanthera repens, Alternanthera sessilis, Alternnanthera sessilis","Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
223,Althaea officinalis,Plantae,Malvaceae,Angiosperms,,Althaea officinalis,"Ayurveda, Siddha, Unani",
224,Altingia excelsa,Plantae,Altingiaceae,Angiosperms,,Altingia excelsa,"Ayurveda, Siddha, Unani",
225,Alysicarpus bupleurifolius,Plantae,Leguminosae,Angiosperms,Lanceleaf Alyce Clover,Alysicarpus bupleurifolius,Ayurveda,Least Concern
226,Alysicarpus rugosus,Plantae,Leguminosae,Angiosperms,,"Alysicarpus rugosus, Alysicarpus violaceus",,
227,Alyxia reinwardtii,Plantae,Apocynaceae,Angiosperms,,Alyxia reinwardtii,,
228,Alyxia stellata,Plantae,Apocynaceae,Angiosperms,,Alyxia stellata,,
229,Amaranthus blitum,Plantae,Amaranthaceae,Angiosperms,,"Amaranthus blitum, Amaranthus lividus","Ayurveda, Siddha",
230,Amaranthus caudatus,Plantae,Amaranthaceae,Angiosperms,Love Lies Bleeding,"Amaranthus caudatus, Amaranthus edulis, Amaranthus mantegazzianus","Ayurveda, Siddha, Unani",
231,Amaranthus dubius,Plantae,Amaranthaceae,Angiosperms,,Amaranthus dubius,,
232,Amaranthus graecizans,Plantae,Amaranthaceae,Angiosperms,,Amaranthus graecizans,,
233,Amaranthus hybridus,Plantae,Amaranthaceae,Angiosperms,,Amaranthus hybridus,,
234,Amaranthus hypochondriacus,Plantae,Amaranthaceae,Angiosperms,Prince-of-Wales Feather,Amaranthus hypochondriacus,,
235,Amaranthus retroflexus,Plantae,Amaranthaceae,Angiosperms,Redroot Pigweed,Amaranthus retroflexus,"Ayurveda, Siddha",
236,Amaranthus spinosus,Plantae,Amaranthaceae,Angiosperms,Prickly Amaranth,"Amaranthus spinosus, Amaanthus spinosus","Ayurveda, Siddha, Sowa Rigpa",
237,Amaranthus tricolor,Plantae,Amaranthaceae,Angiosperms,Elephant-Head Amaranth,"Amaranthus gangeticus, Amaranthus tricolor, Amaranthus mangostanus, Amaanthus tricolor, Amaranthus gangeticus.","Ayurveda, Siddha, Unani",
238,Amaranthus viridis,Plantae,Amaranthaceae,Angiosperms,Green Amaranth,"Amaranthus viridis, Amaranthus gracilis","Ayurveda, Siddha",
239,Amaryllis belladonna,Plantae,Amaryllidaceae,Angiosperms,,"Amaryllis belladonna, Aaryllis belladonna",,
240,Amberboa moschata,Plantae,Compositae,Angiosperms,White Sweet Sultan,"Amberboa moschata, Centaurea moschata",,
241,Amberboa ramosa,Plantae,Compositae,Angiosperms,,"Tricholepis procumbens, Volutarelia divaricata, Amberboa divaricata, Amberboa ramosa, Volutarella divaricata, Volutarella ramosa","Ayurveda, Unani",
242,Ambroma augusta,Plantae,Malvaceae,Angiosperms,,Ambroma augusta,"Ayurveda, Homeopathy",
243,Ambrosia artemisiifolia,Plantae,Compositae,Angiosperms,Common Ragweed,"Ambrosia artemisifolia, Ambrosia artemisiifolia",,
244,Amischotolype mollissima,Plantae,Commelinaceae,Angiosperms,Graceful Forrestia,"Forrestia mollissima, Forrestia mollis, Amischotolype mollissima, Forrestiu mollissima",,
245,Ammannia baccifera,Plantae,Lythraceae,Angiosperms,Blistering Ammannia,"Ammannia baccifera, Ammania baccifera","Ayurveda, Siddha",Least Concern
246,Ammannia multiflora,Plantae,Lythraceae,Angiosperms,Many Flowered Ammannia,Ammannia multiflora,,Least Concern
247,Ammi majus,Plantae,Apiaceae,Angiosperms,Bishop's Weed,Ammi majus,Unani,
248,Ammi visnaga,Plantae,Apiaceae,Angiosperms,,Ammi visnaga,,
249,Amomum aromaticum,Plantae,Zingiberaceae,Angiosperms,,Amomum aromaticum,"Ayurveda, Siddha, Unani",
250,Amomum subulatum,Plantae,Zingiberaceae,Angiosperms,Black Cardamom,"Amomum subulatum, Amomum sublatum, Ammomum subulatum, Amoomum subulatum","Ayurveda, Siddha, Sowa Rigpa, Unani",Data Deficient
251,Amomum testaceum,Plantae,Zingiberaceae,Angiosperms,,Amomum testaceum,,
252,Amomum villosum,Plantae,Zingiberaceae,Angiosperms,,"Amomum xanthioides, Amomum villosum, Ammomum xanthioides",Ayurveda,
253,Amorpha fruticosa,Plantae,Leguminosae,Angiosperms,,Amorpha fruticosa,,
254,Amorphophallus paeoniifolius,Plantae,Araceae,Angiosperms,Elephant Foot Yam,"Amorphophallus campanulatus, Amorphophallus paeoniifolius, Amorphophalus campanulatus, Amorphophalus dubius, Amorphophalus paeoniifolius, Amorphophallus paeoniifolias, Amorphophallus poaeonifolius, Amorphoph","Ayurveda, Siddha, Unani",Least Concern
255,Anacardium occidentale,Plantae,Anacardiaceae,Angiosperms,Cashew,"Anacardium occidentale, Anacardium occidantale","Ayurveda, Homeopathy, Siddha, Unani",Least Concern
256,Anacyclus pyrethrum,Plantae,Compositae,Angiosperms,Spanish Chamomile,"Anacyclus pyrethrum, Anacyclos pyrethrum, Anacyclus officinarum, Anacyclus pyrethurm, Anacylus pyrethrum, Anacyclus pyrethum","Ayurveda, Siddha, Unani",Vulnerable
257,Anagallis arvensis,Plantae,Primulaceae,Angiosperms,,Anagallis arvensis,"Homeopathy, Unani",
258,Anamirta cocculus,Plantae,Menispermaceae,Angiosperms,Fish Berry,Anamirta cocculus,"Ayurveda, Homeopathy, Siddha, Unani",
259,Ananas comosus,Plantae,Bromeliaceae,Angiosperms,Pineapple,"Ananas sativus, Ananas comosus, Ananus comosus","Ayurveda, Siddha, Unani",
260,Anaphalis adnata,Plantae,Compositae,Angiosperms,,"Anaphalis adnata, Anaohalis adnata",,
261,Anaphalis busua,Plantae,Compositae,Angiosperms,Tall Pearly Everlasting,Anaphalis busua,,
262,Anaphalis contorta,Plantae,Compositae,Angiosperms,Eared-Leaf Pearly Everlasting,Anaphalis contorta,Ayurveda,
263,Anaphalis margaritacea,Plantae,Compositae,Angiosperms,,"Anaphalis cinnamomea, Anaphalis margaritacea, Anaphalis margaritaceae",,
264,Anaphalis neelgerryana,Plantae,Compositae,Angiosperms,,"Anaphalis neelgerriana, Anaphalis neelgerryana, Anapalis neelgerryana",Ayurveda,
265,Anaphalis triplinervis,Plantae,Compositae,Angiosperms,Woolly Pearly Everlasting,Anaphalis triplinervis,,
266,Anastatica hierochuntica,Plantae,Brassicaceae,Angiosperms,,Anastatica hierochuntica,Unani,
267,Anchusa azurea,Plantae,Boraginaceae,Angiosperms,,"Anchusa italica, Anchusa azurea","Ayurveda, Unani",
268,Anchusa strigosa,Plantae,Boraginaceae,Angiosperms,,Anchusa strigosa,Ayurveda,
269,Ancistrocladus heyneanus,Plantae,Ancistrocladaceae,Angiosperms,Kardal,"Ancistrocladus heyneanus, Ancistroladus heyneanus",,
270,Ancistrocladus tectorius,Plantae,Ancistrocladaceae,Angiosperms,,"Ancistrocladus tectorius, Ancistrocladus extensus, Ancistroladus tectorius",,
271,Andira inermis,Plantae,Leguminosae,Angiosperms,Cabbage Bark,"Andira inermis, Andira intermis",,Least Concern
272,Andrachne telephioides,Plantae,Phyllanthaceae,Angiosperms,,"Andrachne rotundifolia, Andrachne telephioides",,
273,Andrographis atropurpurea,Plantae,Acanthaceae,Angiosperms,Deep-Purple False-Waterwillow,"Andrographis wightiana, Andrographis atropurpurea",,
274,Andrographis echioides,Plantae,Acanthaceae,Angiosperms,False Waterwillow,"Andrographis echioides, Justicia echioides",Siddha,
275,Andrographis paniculata,Plantae,Acanthaceae,Angiosperms,Kariyat,"Andrographis paniculata, Justicia paniculata, Andrographis panicululata, Andrographis panicultata","Ayurveda, Homeopathy, Siddha, Unani",
276,Andrographis serpyllifolia,Plantae,Acanthaceae,Angiosperms,Roundleaf Kariyat,"Andrographis serpyllifolia, Andrographis serpyliifolia, Andrographis serpyllin",,
277,Andropogon hallii,Plantae,Poaceae,Angiosperms,,Andropogon hallii,,
278,Androsace rotundifolia,Plantae,Primulaceae,Angiosperms,Glandular Roundleaf Rock Jasmine,Androsace rotundifolia,,
279,Androsace umbellata,Plantae,Primulaceae,Angiosperms,Umbelled Rock Jasmine,"Androsace saxifragifolia, Primula umbellata, Androsace umbellata",,
280,Anemarrhena asphodeloides,Plantae,Asparagaceae,Angiosperms,,"Anemarrhena asphodeloides, Anemarrhena asphodeloids",,
281,Anemone coronaria,Plantae,Ranunculaceae,Angiosperms,Poppy Anemone,Anemone coronaria,,
282,Anemone narcissiflora,Plantae,Ranunculaceae,Angiosperms,,Anemone narcissiflora,,
283,Anemone obtusiloba,Plantae,Ranunculaceae,Angiosperms,,Anemone obtusiloba,Unani,
284,Anemone rivularis,Plantae,Ranunculaceae,Angiosperms,,Anemone rivularis,,
285,Anethum graveolens,Plantae,Apiaceae,Angiosperms,Dill,"Peucedanum sowa, Peucedanum graveolens, Anethum graveolens","Ayurveda, Siddha, Sowa Rigpa, Unani",
286,Anethum sowa,Plantae,Apiaceae,Angiosperms,,Anethum sowa,"Ayurveda, Siddha, Sowa Rigpa, Unani",
287,Angelica archangelica,Plantae,Apiaceae,Angiosperms,,"Archangelica officinalis, Angelica archangelica, Angelica officinalis",Ayurveda,
288,Angelica glauca,Plantae,Apiaceae,Angiosperms,Smooth Angelica,Angelica glauca,"Ayurveda, Sowa Rigpa, Unani",Endangered
289,Angelica sinensis,Plantae,Apiaceae,Angiosperms,,Angelica sinensis,,
290,Angelica tenuissima,Plantae,Apiaceae,Angiosperms,,Angelica tenuissima,,
291,Angelonia grandiflora,Plantae,Plantaginaceae,Angiosperms,,Angelonia grandiflora,,
292,Angiopteris evecta,Plantae,Marattiaceae,Pteridophytes,,Angiopteris evecta,,
293,Aniseia martinicensis,Plantae,Convolvulaceae,Angiosperms,,"Ipomoea uniflora, Aniseia martinicensis",,Least Concern
294,Anisochilus carnosus,Plantae,Lamiaceae,Angiosperms,,"Anisochilus carnosus, Anisochilus carnonus","Ayurveda, Siddha",
295,Anisodus luridus,Plantae,Solanaceae,Angiosperms,,"Scopolia lurida, Scopolia anomala, Anisodus luridus",,
296,Anisomeles heyneana,Plantae,Lamiaceae,Angiosperms,Western Hill Catmint,Anisomeles heyneana,,
297,Anisomeles indica,Plantae,Lamiaceae,Angiosperms,Indian Catmint,"Anisomeles ovata, Anisomeles indica, Anisomeles inidca",Siddha,
298,Anisomeles malabarica,Plantae,Lamiaceae,Angiosperms,Malabar Catmint,"Anisomeles malabarica, Nepeta malabarica","Ayurveda, Siddha, Unani",
299,Annona atemoya,Plantae,Annonaceae,Angiosperms,,Annona atemoya,,
300,Annona cherimola,Plantae,Annonaceae,Angiosperms,,"Annona cherimolia, Annona cherimola",,Least Concern
301,Annona glabra,Plantae,Annonaceae,Angiosperms,Pond Apple,Annona glabra,,Least Concern
302,Annona montana,Plantae,Annonaceae,Angiosperms,,Annona montana,,Least Concern
303,Annona muricata,Plantae,Annonaceae,Angiosperms,Soursop,Annona muricata,Siddha,Least Concern
304,Annona purpurea,Plantae,Annonaceae,Angiosperms,,Annona purpurea,,Least Concern
305,Annona reticulata,Plantae,Annonaceae,Angiosperms,Netted Custard Apple,Annona reticulata,"Ayurveda, Siddha",Least Concern
306,Annona squamosa,Plantae,Annonaceae,Angiosperms,Sugar Apple,"Annona squamosa, Anona squamosa, Annona squanosa","Ayurveda, Siddha, Unani",Least Concern
307,Annona stenophylla,Plantae,Annonaceae,Angiosperms,,"Annona cuneata, Annona stenophylla",,
308,Anodendron paniculatum,Plantae,Apocynaceae,Angiosperms,Andamanese Bowstring Plant,Anodendron paniculatum,,
309,Anoectochilus roxburghii,Plantae,Orchidaceae,Angiosperms,Roxburgh's Jewel Orchid,"Anaectochilus roxburghii, Anoectochilus roxburghii",,
310,Anogeissus acuminata,Plantae,Combretaceae,Angiosperms,,Anogeissus acuminata,,
311,Anogeissus latifolia,Plantae,Combretaceae,Angiosperms,Axle Wood Tree,"Anogeissus latifolia, Anogeissus larifolia","Ayurveda, Siddha, Sowa Rigpa, Unani",
312,Anthemis cotula,Plantae,Compositae,Angiosperms,Stinking Chamomile,Anthemis cotula,,
313,Anthriscus cerefolium,Plantae,Apiaceae,Angiosperms,,Anthriscus cerefolium,,
314,Anthriscus nemorosa,Plantae,Apiaceae,Angiosperms,Forest Chervil,"Anthriscus nemerosa, Anthriscus nemorosa",,
315,Anthriscus sylvestris,Plantae,Apiaceae,Angiosperms,,Anthriscus sylvestris,,
316,Antiaris toxicaria,Plantae,Moraceae,Angiosperms,Upas Tree,"Antiaris toxicaria, Antiaris innoxia, Antiaris saccidora, Antiarus toxicaria","Ayurveda, Siddha",Least Concern
317,Anticharis glandulosa,Plantae,Scrophulariaceae,Angiosperms,,Anticharis glandulosa,,
318,Anticharis senegalensis,Plantae,Scrophulariaceae,Angiosperms,,"Anticharis linearis, Anticharis senegalensis, Doratanthera senegalensis",,
319,Antidesma acidum,Plantae,Phyllanthaceae,Angiosperms,Sour Currant Shrub,"Antidesma diandrum, Antidesma acidum",,Least Concern
320,Antidesma bunius,Plantae,Phyllanthaceae,Angiosperms,Currant Tree,Antidesma bunius,Siddha,Least Concern
321,Antidesma montanum,Plantae,Phyllanthaceae,Angiosperms,Mountain Currant Tree,"Antidesma menasu, Antidesma montanum, Antidesma acuminatum",Siddha,Least Concern
322,Antigonon leptopus,Plantae,Polygonaceae,Angiosperms,White Coral Vine,"Antigonon leptopus, Anticonon leptopus",,
323,Antirrhinum majus,Plantae,Plantaginaceae,Angiosperms,Dog Flower,Antirrhinum majus,,
324,Apama siliquosa,Plantae,Aristolochiaceae,Angiosperms,,"Apama siliquosa, Apama siliguosa",,
325,Aphanamixis polystachya,Plantae,Meliaceae,Angiosperms,Pithraj Tree,"Aphanamixis polystachya, Aphararmixis grandifolia, Aphararmixis polystachya","Ayurveda, Homeopathy, Siddha",Least Concern
326,Aphananthe cuspidata,Plantae,Cannabaceae,Angiosperms,,"Gironniera reticulata, Aphananthe cuspidata",Siddha,
327,Apium graveolens,Plantae,Apiaceae,Angiosperms,Celery,Apium graveolens,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
328,Apodytes dimidiata,Plantae,Icacinaceae,Angiosperms,White Pear,"Apodytes dinidiata, Apodytes dimidiata",,Least Concern
329,Aquilaria agallocha,Plantae,Thymelaeaceae,Angiosperms,,"Aquilaria agallocha, Aquilaria ugallocha","Ayurveda, Siddha, Sowa Rigpa, Unani",
330,Aquilaria malaccensis,Plantae,Thymelaeaceae,Angiosperms,Agar Wood,"Aquilaria malaccensis, Aquilaria malaccenisis","Ayurveda, Siddha, Sowa Rigpa, Unani",Critically Endangered
331,Aquilaria sinensis,Plantae,Thymelaeaceae,Angiosperms,,Aquilaria sinensis,,Vulnerable
332,Aquilegia moorcroftiana,Plantae,Ranunculaceae,Angiosperms,Moorcroft's Columbine,Aquilegia moorcroftiana,,
333,Aquilegia vulgaris,Plantae,Ranunculaceae,Angiosperms,Common Columbine,Aquilegia vulgaris,Homeopathy,
334,Arabidopsis thaliana,Plantae,Brassicaceae,Angiosperms,Mouse Ear Cress,"Sisymbrium thalianum, Arabidopsis thaliana",,
335,Arachis hypogaea,Plantae,Leguminosae,Angiosperms,Groundnut,"Arachis hypogaea, Arachis nambyquarae","Ayurveda, Siddha, Unani",
336,Araiostegia divaricata,Plantae,Davalliaceae,Pteridophytes,,"Davallia divaricata, Araiostegia divaricata",,
337,Aralia cachemirica,Plantae,Araliaceae,Angiosperms,Kashmir Aralia,Aralia cachemirica,,
338,Aralia chinensis,Plantae,Araliaceae,Angiosperms,,Aralia chinensis,,Vulnerable
339,Aralia dasyphylla,Plantae,Araliaceae,Angiosperms,,Aralia dasyphylla,,Least Concern
340,Araucaria angustifolia,Plantae,Araucariaceae,Gymnosperms,Parana Pine,"Araucaria angustifolia, Araucaria braziliensis",,Critically Endangered
341,Araucaria araucana,Plantae,Araucariaceae,Gymnosperms,,"Araucaria imbricata, Araucaria araucana",,Endangered
342,Araucaria bidwillii,Plantae,Araucariaceae,Gymnosperms,Bunya Pine,"Araucaria bidwillii, Araucaria bindwillii",,Least Concern
343,Araucaria columnaris,Plantae,Araucariaceae,Gymnosperms,Christmas Tree,"Araucaria cookii, Araucaria columnaris, Araucaria excelsa",,Least Concern
344,Araucaria cunninghamii,Plantae,Araucariaceae,Gymnosperms,,"Araucaria cunninghamii, Araucaria cunnighamii",,Least Concern
345,Arbutus unedo,Plantae,Ericaceae,Angiosperms,,Arbutus unedo,,Least Concern
346,Arctium lappa,Plantae,Compositae,Angiosperms,Greater Burdock,"Arctium lappa, Arcticum lappa",Homeopathy,
347,Arctostaphylos uva-ursi,Plantae,Ericaceae,Angiosperms,,Arctostaphylos uva-ursi,Unani,
348,Ardisia japonica,Plantae,Primulaceae,Angiosperms,,Ardisia japonica,,
349,Ardisia macrocarpa,Plantae,Primulaceae,Angiosperms,Himalayan Coralberry,Ardisia macrocarpa,,
350,Ardisia neriifolia,Plantae,Primulaceae,Angiosperms,,"Ardisia floribunda, Ardisia neriifolia",,
351,Ardisia odontophylla,Plantae,Primulaceae,Angiosperms,,Ardisia odontophylla,,
352,Ardisia paniculata,Plantae,Primulaceae,Angiosperms,Panicled Coralberry,"Ardisia paniculata, Ardisia colorata",,
353,Ardisia quinquegona,Plantae,Primulaceae,Angiosperms,,Ardisia quinquegona,,Least Concern
354,Ardisia solanacea,Plantae,Primulaceae,Angiosperms,Shoebutton Ardisia,"Ardisia solanacea, Ardisia solanaceae",Siddha,
355,Ardisia thyrsiflora,Plantae,Primulaceae,Angiosperms,,Ardisia thyrsiflora,,Least Concern
356,Areca catechu,Plantae,Arecaceae,Angiosperms,Betel Palm,Areca catechu,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
357,Arenaria kansuensis,Plantae,Caryophyllaceae,Angiosperms,,Arenaria kansuensis,,
358,Arenaria serpyllifolia,Plantae,Caryophyllaceae,Angiosperms,Thyme-Leaved Sandwort,Arenaria serpyllifolia,,
359,Argania spinosa,Plantae,Sapotaceae,Angiosperms,,Argania spinosa,,
360,Argemone mexicana,Plantae,Papaveraceae,Angiosperms,Mexican Prickly Poppy,"Argemone mexicana, Argemene mexicana","Ayurveda, Homeopathy, Siddha, Unani",
361,Argemone ochroleuca,Plantae,Papaveraceae,Angiosperms,Pale Mexican Poppy,Argemone ochroleuca,,
362,Argemone subfusiformis,Plantae,Papaveraceae,Angiosperms,,Argemone subfusiformis,,
363,Argyreia cuneata,Plantae,Convolvulaceae,Angiosperms,Purple Morning Glory,"Argyreia cuneata, Agyreia cuneata",,
364,Argyreia imbricata,Plantae,Convolvulaceae,Angiosperms,,Argyreia imbricata,,
365,Argyreia nervosa,Plantae,Convolvulaceae,Angiosperms,Elephant Creeper,"Argyreia speciosa, Argyreia nervosa, Agyreia speciosa, Convolulus nervosus, Lettsomia nervosa, Argyreua speciosa, Agyreia nervosa, Argyeria nervosa","Ayurveda, Siddha, Sowa Rigpa, Unani",
366,Arisaema tortuosum,Plantae,Araceae,Angiosperms,Whipcord Cobra Lily,"Arisaema curvatum, Arisaema tortuosum, Arisaema tortosum, Arisaema tortuosm, Arisaema torteosum",,
367,Arisaema triphyllum,Plantae,Araceae,Angiosperms,,Arisaema triphyllum,"Homeopathy, Siddha",
368,Aristolochia bracteolata,Plantae,Aristolochiaceae,Angiosperms,Worm Killer,"Aristolochia bracteata, Aristolochia bracteolata","Ayurveda, Siddha, Unani",
369,Aristolochia fontanesii,Plantae,Aristolochiaceae,Angiosperms,,"Aristolochia longa, Aristolochia fontanesii",Unani,
370,Aristolochia grandiflora,Plantae,Aristolochiaceae,Angiosperms,,Aristolochia grandiflora,,
371,Aristolochia indica,Plantae,Aristolochiaceae,Angiosperms,Indian Birthwort,"Aristolochia indica, Aristolochia lanceolata","Ayurveda, Siddha, Sowa Rigpa, Unani",
372,Aristolochia labiata,Plantae,Aristolochiaceae,Angiosperms,,"Aristolochia brasiliensis, Aristolochia labiata",Siddha,
373,Aristolochia littoralis,Plantae,Aristolochiaceae,Angiosperms,Calico Flower,"Aristolochia elegans, Aristolochia littoralis",,
